dbn,X..of.SAT.Takers.in.2014,Avg.SAT.Critical.Reading.Score.in.2014,Avg.SAT.Math.Scores.in.2014,Avg.SAT.Writing.Scores.in.2014,school_name,grade_span_min,grade_span_max,zip,total_students,school_type,advancedplacement_courses,online_ap_courses,start_time,end_time
09X239,17,349,327,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09X241,64,393,419,394,Urban Assembly School for Applied Math and Science; The,6,12,10457,605,,Biology; Calculus AB,,8:30 AM,3:30 PM
09X250,60,383,373,392,Eximius College Preparatory Academy: A College Board School,9,12,10456,423,,English Language and Composition; English Literature and Composition; Environmental Science; Spanish Language and Culture; Spanish Literature and Culture; United States Government and Politics; World History,,8:00 AM,3:22 PM
09X252,62,365,341,349,Mott Hall Bronx High School,9,12,10457,379,,,,8:30 AM,3:15 PM
09X260,90,459,506,457,Bronx Center for Science and Mathematics,9,12,10456,461,,Biology; Calculus AB; English Language and Composition; United States History; World History,,7:30 AM,3:25 PM
09X263,60,369,369,372,Validus Preparatory Academy: An Expeditionary Learning School,9,12,10457,374,,,,8:15 AM,3:15 PM
09X276,35,342,327,340,Leadership Institute,9,12,10457,227,,,,8:30 AM,3:15 PM
09X297,41,393,401,385,Morris Academy for Collaborative Studies,9,12,10456,464,,English Language and Composition; Spanish Language and Culture,,8:15 AM,3:30 PM
09X324,54,396,386,372,Bronx Early College Academy for Teaching & Learning,6,12,10456,508,,,,8:30 AM,3:15 PM
09X329,41,355,345,366,DreamYard Preparatory School,9,12,10457,345,,Biology; English Language and Composition; English Literature and Composition; Spanish Language and Culture; Spanish Literature and Culture; United States History,,8:40 AM,3:15 PM
09X365,68,326,331,303,Academy for Language and Technology,9,12,10453,301,,Spanish Language and Culture,Art History; Biology; Chemistry; Psychology; Spanish Language and Culture; Spanish Literature and Culture; World History,8:00 AM,4:00 PM
09X403,61,324,330,321,Bronx International High School,9,12,10456,414,International School,,,9:00 AM,3:45 PM
09X404,34,339,338,339,School for Excellence,9,12,10456,396,,,,8:15 AM,2:45 PM
09X412,48,367,344,352,Bronx High School of Business,9,12,10457,359,,English Literature and Composition; Spanish Language and Culture; Spanish Literature and Culture,,7:45 AM,3:15 PM
09X413,65,423,445,419,Bronx High School for Medical Science,6,12,10457,465,,Spanish Language and Culture,,7:45 AM,3:15 PM
09X414,27,351,327,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09X505,95,422,407,413,Bronx School for Law; Government and Justice,6,12,10451,773,,Biology; English Literature and Composition; Spanish Language and Culture; United States Government and Politics,,8:15 AM,3:00 PM
09X517,51,391,394,385,Frederick Douglass Academy III Secondary School,9,12,10456,410,,Art History; Biology; Calculus AB; English Language and Composition; Environmental Science; Psychology; Spanish Language and Culture; United States History,,8:30 AM,4:00 PM
09X525,105,380,394,380,Bronx Leadership Academy High School,9,12,10457,711,,Biology; English Language and Composition; United States History; World History,,8:00 AM,3:44 PM
09X543,22,358,353,350,High School for Violin and Dance,9,12,10456,378,,,,8:00 AM,3:00 PM
