DBN,school_0me,male,female,male_ratio,female_ratio
18K500,CA0RSIE HIGH SCHOOL,150,98,0.60483871,0.39516129
18K563,IT TAKES A VILLAGE ACADEMY,51,56,0.476635514,0.523364486
18K566,BROOKLYN GENERATION SCHOOL,54,24,0.692307692,0.307692308
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,25,37,0.403225806,0.596774194
18K569,KURT HAHN EXPEDITIO0RY LEARNING SCHOOL,54,35,0.606741573,0.393258427
18K576,VICTORY COLLEGIATE HIGH SCHOOL,44,37,0.543209877,0.456790123
18K578,BROOKLYN BRIDGE ACADEMY,56,42,0.571428571,0.428571429
18K589,ARTS AND MEDIA PREPARATORY ACADEMY,29,26,0.527272727,0.472727273
18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDI,2,2,0.5,0.5
18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,4,3,0.571428571,0.428571429
18K635,OLYMPUS ACADEMY,34,31,0.523076923,0.476923077
18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,2,3,0.4,0.6
18K642,URBAN ACTION ACADEMY,4,1,0.8,0.2
18K673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,43,45,0.488636364,0.511363636
19K409,EAST NEW YORK FAMILY ACADEMY,34,33,0.507462687,0.492537313
19K420,FRANKLIN K LANE HIGH SCHOOL,180,152,0.542168675,0.457831325
19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,74,27,0.732673267,0.267326733
19K504,HIGH SCHOOL FOR CIVIL RIGHTS,62,59,0.512396694,0.487603306
